1,"50 Cent","1975-07-06",""
2,"A. Michael Baldwin","1963-04-04",""
3,"A. Raven Cruz","",""
4,"A.J. Buckley","1978-02-09",""
5,"A.J. DeLucia","",""
6,"A.J. Langer","1974-05-22",""
7,"Aaliyah","1979-01-16","2001-08-25"
8,"Aaron Ashmore","1979-10-07",""
9,"Aaron Hann","",""
10,"Aaron Hill","1983-04-23",""
11,"Aaron Hughes","",""
12,"Aaron Kwok","1965-10-26",""
13,"Aaron Schneider","",""
14,"Aaron Seltzer","1974-01-12",""
15,"Aaron Stanford","1976-12-27",""
16,"Aaron Staton","",""
17,"Aaron Yoo","1979-05-12",""
18,"Aasheekaa Bathija","",""
19,"Aasif Mandvi","1966-03-05",""
20,"Abbie Cornish","1982-08-07",""
21,"Abby Elliott","1987-06-16",""
22,"Abby Mukiibi Nkaaga","",""
23,"Abel Ferrara","1951-07-19",""
24,"Abhishek Bachchan","1976-02-05",""
25,"Abigail Evans","",""
26,"Abigail Spencer","1981-08-04",""
27,"Abraham Benrubi","1969-10-04",""
28,"Ace Marrero","1982-07-28",""
29,"Adam Alexi-Malle","1964-09-24",""
30,"Adam Arkin","1956-08-19",""
31,"Adam Baldwin","1962-02-27",""
32,"Adam Boyer","",""
33,"Adam Brooks","1956-09-03",""
34,"Adam Brown","",""
35,"Adam Butcher","1988-10-20",""
36,"Adam Carolla","1964-05-27",""
37,"Adam Copeland","1973-10-30",""
38,"Adam DiMarco","1990-04-14",""
39,"Adam Garcia","1973-06-01",""
40,"Adam Goldberg","1970-10-25",""
41,"Adam Green","1975-03-31",""
42,"Adam Hicks","1992-11-28",""
43,"Adam Jay Epstein","",""
44,"Adam Lamberg","1984-09-14",""
45,"Adam LeFevre","1950-08-11",""
46,"Adam Marcus","",""
47,"Adam McKay","1968-04-17",""
48,"Adam Rapp","1968-06-15",""
49,"Adam Ratcliffe","",""
50,"Adam Rayner","",""
51,"Adam Rifkin","1966-12-31",""
52,"Adam Sandler","1966-09-09",""
53,"Adam Scott","1973-04-03",""
54,"Adam Shankman","1964-11-27",""
55,"Adam Trese","1969-01-04",""
56,"Adel Karam","",""
57,"Adelaide Kane","1990-08-09",""
58,"Aden Young","",""
59,"Adhir Kalyan","1983-08-04",""
60,"Aditya Roy Kapoor","1985-11-16",""
61,"Adolphe Menjou","1890-02-18","1963-10-29"
62,"Adrian Alonso","1994-04-06",""
63,"Adrian Gonzalez","1938-05-08","1998-10-23"
64,"Adrian Holmes","1974-03-31",""
65,"Adrian Lester","1968-08-14",""
66,"Adrian Lyne","1941-03-04",""
67,"Adrian Martinez","",""
68,"Adrian Pasdar","1965-04-30",""
69,"Adrian Paul","1959-05-29",""
70,"Adriana Barraza","1956-03-05",""
71,"Adriana Caselotti","1916-05-16","1997-01-19"
72,"Adriane Lenox","1956-09-11",""
73,"Adriano Giannini","1971-05-10",""
74,"Adrien Dorval","1963-03-22",""
75,"Adrienne Barbeau","1945-06-11",""
76,"Adrienne Frantz","1978-06-07",""
77,"Adrienne King","1955-07-21",""
78,"Adrienne Pickering","1981-02-22",""
79,"Adrienne Shelly","1966-06-24","2006-11-01"
80,"Agame Malembo-Emene","",""
81,"Agata Kulesza","1971-09-27",""
82,"Agata Trzebuchowska","",""
83,"Agnes Bruckner","1985-08-16",""
84,"Agnes Moorehead","1900-12-06","1974-04-30"
85,"Agnia Ditkovskite","1988-05-11",""
86,"Agnieszka Holland","1948-11-28",""
87,"Agnieszka Wojtowicz-Vosloo","",""
88,"AgustÃ­n DÃ­az Yanes","",""
89,"Ah-sung Ko","1992-08-10",""
90,"Ahmad Massad","",""
91,"Ahmed Best","1973-08-19",""
92,"Ahmed Hassan","",""
93,"Ahmet Ertegun","1923-07-31","2006-12-14"
94,"Ahna O'Reilly","1984-09-21",""
95,"Ahney Her","",""
96,"Aida Elkashef","",""
97,"Aida Folch","1986-11-24",""
98,"Aida Turturro","1962-09-25",""
99,"Aidan McArdle","",""
100,"Aidan Quinn","1959-03-08",""
101,"Aidan Turner","1983-06-19",""
102,"Aimee Garcia","1978-11-28",""
103,"Aimee Teegarden","1989-10-10",""
104,"Aisha Hinds","1975-11-13",""
105,"Aisha Tyler","1970-09-18",""
106,"Aitana SÃ¡nchez-GijÃ³n","1968-11-05",""
107,"AJ Michalka","1991-04-10",""
108,"Ajay Naidu","1972-02-12",""
109,"Aki Aleong","1934-12-19",""
110,"Aki KaurismÃ¤ki","1957-04-04",""
111,"Akie Kotabe","1980-07-18",""
112,"Akima","","2014-07-27"
113,"Akira Kurosawa","1910-03-23","1998-09-06"
114,"Akira Terao","1947-05-18",""
115,"Akiva Goldsman","1962-07-07",""
116,"Akiva Schaffer","1977-12-01",""
117,"Akon","1973-04-16",""
118,"Aksel Hennie","1975-10-29",""
119,"Akshaye Khanna","1975-03-28",""
120,"Al Cliver","1951-07-16",""
121,"Al Franklin","",""
122,"Al Freeman Jr.","1931-03-21","2012-08-09"
123,"Al Gore","1948-03-31",""
124,"Al Leong","1952-09-30",""
125,"Al Pacino","1940-04-25",""
126,"Al Roker","1954-08-20",""
127,"Al Sapienza","1956-07-31",""
128,"Al Silliman Jr.","1941-04-07",""
129,"Alain Delon","1935-11-08",""
130,"Alain Resnais","1922-06-03","2014-03-01"
131,"Alan Alda","1936-01-28",""
132,"Alan Autry","1952-07-31",""
133,"Alan Bates","1934-02-17","2003-12-27"
134,"Alan Brent","",""
135,"Alan Cohn","1957-01-12",""
136,"Alan D. Purwin","1961-08-28","2015-09-11"
137,"Alan Dale","1947-05-06",""
138,"Alan David","1947-11-30",""
139,"Alan Ford","1938-02-23",""
140,"Alan Hale","1947-05-06",""
141,"Alan Hale Jr.","1921-03-08","1990-01-02"
142,"Alan J. Pakula","1928-04-07","1998-11-19"
143,"Alan Jacobs","",""
144,"Alan Metter","1933-08-19",""
145,"Alan Oppenheimer","1930-04-23",""
146,"Alan Parker","1944-02-14",""
147,"Alan Pietruszewski","",""
148,"Alan Poul","",""
149,"Alan Rickman","1946-02-21","2016-01-14"
150,"Alan Ruck","1956-07-01",""
